,Title,Published_date,Views,Likes,Comments,Month
170,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5689,156,53,Jun
171,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,68183,2119,267,May
172,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20942,489,81,May
173,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,53472,1916,176,May
174,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11218,178,55,May
175,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,121080,4211,192,May
176,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3097,146,115,May
177,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4475,153,74,May
178,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1388975,48991,1997,May
179,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5457,195,42,May
180,What You Need to Know for a Data Science Internship,2020-05-01,20971,1154,59,May
181,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8297,348,54,Apr
182,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14966,460,103,Apr
183,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3088,85,24,Apr
184,5 Tips for Crushing the Work From Home Life,2020-04-20,5382,202,38,Apr
185,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,19429,705,126,Apr
186,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,27072,700,98,Apr
187,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,40892,857,151,Apr
188,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,67802,1823,211,Apr
189,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,74284,1680,272,Apr
190,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,114846,3256,611,Apr
191,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,174317,4606,170,Apr
192,When Data Science Goes Wrong,2020-03-30,1796,105,32,Mar
193,How to ULTRALEARN Data Science,2020-03-27,61391,3819,169,Mar
194,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4357,267,50,Mar
195,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12571,462,45,Mar
196,The Secret Data Scientists Don't Want You to Know,2020-03-16,10627,1137,105,Mar
197,The 5 Stages of Learning Data Science,2020-03-13,17342,1296,78,Mar
198,Can You Learn Data Science Without a Computer?,2020-03-11,1597,108,14,Mar
199,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,341498,21047,618,Mar
200,The Data Science Projects that Got Me a Job,2020-03-06,40261,1391,41,Mar
201,How to Integrate Data Science into Your Business,2020-03-02,3358,127,18,Mar
202,The Problem with Data Science,2020-02-28,3766,155,19,Feb
203,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1139,45,16,Feb
204,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,120250,2346,99,Feb
205,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,320308,17589,519,Feb
206,Data Science Advice for College Students,2020-02-14,68641,1957,197,Feb
